citycode,cityname
ASANSOL,ASANSOL
BANDA,BANDA
MAYILADUTHURAI,MAYILADUTHURAI
CHITRADURGA,CHITRADURGA
ZAHIRABAD,ZAHIRABAD
UDHAMPUR,UDHAMPUR
KHARAGPUR,KHARAGPUR
KOCHI,KOCHI
SANGLI,SANGLI
BATHINDA,BATHINDA
RAMPUR,RAMPUR
KANAKAPURA,KANAKAPURA
BANJAR,BANJAR
MANGALORE,MANGALORE
ARWAL,ARWAL
KRISHNANAGAR,KRISHNANAGAR
GOHPUR,GOHPUR
IMPHAL,IMPHAL
FARRUKHABAD,FARRUKHABAD
TAMLUK,TAMLUK
THENI,THENI
RAE BAREILLY,RAE BAREILLY
WEST TRIPURA,WEST TRIPURA
AHMEDNAGAR,AHMEDNAGAR
PURNIA,PURNIA
GANDHIDHAM,GANDHIDHAM
TIRUR,TIRUR
DURGAPUR,DURGAPUR
THIRUVANANTHAPURAM,THIRUVANANTHAPURAM
AKBARPUR,AKBARPUR
KRISHNAI,KRISHNAI
BIHAR SHARIF,BIHAR SHARIF
AMRAVATI,AMRAVATI
NAUSHER PANVAN,NAUSHER PANVAN
MANGALDOI,MANGALDOI
BARNALA,BARNALA
JAMNAGAR,JAMNAGAR
BANSWARA,BANSWARA
HARIJ,HARIJ
DHARWAD,DHARWAD
MARHAURA,MARHAURA
ORMANJHI,ORMANJHI
AZAMGARH,AZAMGARH
RAHATGARH,RAHATGARH
JHANSI,JHANSI
KARNAL,KARNAL
PAONTA SAHIB,PAONTA SAHIB
DADRI,DADRI
SASARAM,SASARAM
UDAIPUR,UDAIPUR
INDORE,INDORE
GANJAM,GANJAM
CHAIBASA,CHAIBASA
KRISHNAPURA,KRISHNAPURA
RATNAGIRI,RATNAGIRI
PRAYAGRAJ,PRAYAGRAJ
DULIAJAN,DULIAJAN
DODA,DODA
RAJSAMAND,RAJSAMAND
CHAKIA,CHAKIA
MOTIHARI,MOTIHARI
MOHALI,MOHALI
GREATER NOIDA,GREATER NOIDA
GIRIDIH,GIRIDIH
OSMANABAD,OSMANABAD
RUPNAGAR,RUPNAGAR
ETAWAH,ETAWAH
SHAJAPUR,SHAJAPUR
SHIMLA,SHIMLA
HARDOI,HARDOI
CHARILAI,CHARILAI
PAONTA,PAONTA
PATHANKOT,PATHANKOT
HUBLI,HUBLI
VAPI,VAPI
