paramfamilycode,paramcode,paramname,paraminfo,isenabled,createdat,createdby,updatedat,updatedby
regulardata,cycletime,Battery Cycle Time,{},true,"""2025-06-25T12:04:05.863Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:05.863Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,charger_sts_live,Charger Status Live,{},true,"""2025-06-25T12:04:05.918Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:05.918Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,bms_charger_plug_in_sts,Charger Plugin Status,{},true,"""2025-06-25T12:04:05.979Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:05.979Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,drive_enable,Drive Enable Status,{},true,"""2025-06-25T12:04:06.058Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.058Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,bms_hvbatt_connect_sts,High Voltage Battery Connect Status,{},true,"""2025-06-25T12:04:06.158Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.158Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,bms_hvbatt_disconnect_sts,High Voltage Battery Disconnect Status,{},true,"""2025-06-25T12:04:06.218Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.218Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,bms_in_keyon,Ignition,{},true,"""2025-06-25T12:04:06.277Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.277Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,bms_cyclenum,BMS Cycle Count,{},true,"""2025-06-25T12:04:06.333Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.333Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,charger_temp_live,Charger Temperature Live,{},true,"""2025-06-25T12:04:06.537Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.537Z""",e2500964-be53-4d5f-964c-c05804593f91
regulardata,chargertemp,Charger Temperature,{},true,"""2025-06-25T12:04:06.591Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-06-25T12:04:06.591Z""",e2500964-be53-4d5f-964c-c05804593f91
