modelcode,modelname,modelvariant,modelfamilycode,modelinfo,isenabled,createdat,createdby,updatedat,updatedby,modeldisplayname
treo_zor_163ah_default,Treo_Zor_163AH,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor/zor-2025.pdf"",""brochurespecs"":{""range"":""136"",""battery_capacity"":""8.34"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:13.087Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:51:39.656Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Zor
zor_fb,Zor,FB,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor_fb.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor/zor-2025.pdf"",""brochurespecs"":{""range"":""80"",""battery_capacity"":""7.37"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.406Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:52:27.337Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Zor
zor_pu,Zor,pu,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor/zor-2025.pdf"",""brochurespecs"":{""range"":""80"",""battery_capacity"":""7.37"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.468Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:52:32.481Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Zor
treo500,Treo200,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T13:50:16.463Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:48:52.862Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo_default,Treo,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.510Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:43:13.437Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo_eautohtn,Treo,EAUTO HT N,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.574Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:44:52.033Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo_eautostn,Treo,EAUTO ST N,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.635Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:44:58.594Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
zorgrand_default,ZorGrand,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_pu.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.661Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:52:59.580Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zorgrand_dv,ZorGrand,DV,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.888Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:05.570Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
a301_default,A301,default,a301,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""243"",""battery_capacity"":""11.77"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:09.934Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-25T10:10:58.672Z""",37278e24-eab2-40bf-b552-85077d5ad9bb,A301
