modelfamilycode,paramfamilycode,paramcode,paramvalue,isenabled,createdat,createdby,updatedat,updatedby
treo,regulardata,aux_batt_volt,aux_batt_volt,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,batt_current,batt_current,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,cycletime,cycletime,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,battery_ttc,battery_ttc,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bat_voltage,bat_voltage,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_batt_pack_temp,bms_batt_pack_temp,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_cell_avg_temp,bms_cell_avg_temp,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_cell_avg_volt,bms_cell_avg_volt,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_cyclenum,bms_cyclenum,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,brake_switch_status,brake_switch_status,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,can_throttle,can_throttle,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_charger_plug_in_sts,bms_charger_plug_in_sts,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,charger_sts_live,v_mode,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,chargertemp,charger_temp,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,charger_temp_live,charger_temp_live,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,dte,dte,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,drive_enable,drive_enable,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,tcu_speedmode,tcu_speedmode,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,kwh,kwh,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_hvbatt_connect_sts,bms_hvbatt_connect_sts,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_hvbatt_disconnect_sts,bms_hvbatt_disconnect_sts,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,bms_in_keyon,bms_in_keyon,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
treo,regulardata,inv_drivemode_shift,inv_drivemode_shift,true,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff,"""2025-09-04T18:43:24.983Z""",ffffffff-ffff-ffff-ffff-ffffffffffff
