vehiclemodel,vehiclecolour,vehiclevariant,displayname,modelimage,modelmanual,range,battery_capacity,co2_emission_factor,fuel_price_factor,modelicon
MAHINDRA ZEO V1,A5DMNDWHIT,ZEO EV V1,Mahindra Zeo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/mahindra-zeo/mahindra-zeo-2025.pdf,232,21.3,129,91,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg
MAHINDRA ZEO V1 DV 200,A5DMNDWHIT,ZEO EV V1 DV,Mahindra Zeo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/mahindra-zeo/mahindra-zeo-2025.pdf,232,21.3,129,91,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg
MAHINDRA ZEO V2,A5DMNDWHIT,ZEO EV V2,Mahindra Zeo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/mahindra-zeo/mahindra-zeo-2025.pdf,232,21.3,129,91,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg
MAHINDRA ZEO V2 DV 200,A5DMNDWHIT,ZEO EV V2 DV,Mahindra Zeo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/mahindra-zeo/mahindra-zeo-2025.pdf,232,21.3,129,91,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg
TREO 2.0 SFT OCEANIC BLUE,OCBL,EAUTO ST N,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO 2.0 SFT ROSE PINK,RSPK,EAUTO ST N,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,A0BLUEWHIT,EAUTO HT N,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,EAUTOBW,EAUTO HT N,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,EAUTOBW,EAUTO HT,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,EAUTO,EAUTO HT,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,EAUTO,EAUTO HT,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT SM,A0BLUEWHIT,TREO AUTO,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT SM,EAUTOBW,TREO AUTO,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT SM,EAUTOBW,TREO PLUS SFT SM,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO HRT,WHITE,EAUTO HT,Treo,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf,110,7.37,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS HRT,EAUTOBW,EAUTO PLUS HT,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS HRT SM,A0BLUEWHIT,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS HRT SM,EAUTOBW,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT,A0BLUEWHIT,EAUTO PLUS ST,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT BLACK-YELLOW,BKYL,EAUTO PLUS ST,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT,EAUTOBW,EAUTO PLUS ST,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT LILAC BLUE,LCBL,EAUTO PLUS ST,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT OCEANIC BLUE,OCBL,EAUTO PLUS ST,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM,A0BLUEWHIT,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM,A0LILABLUE,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM,A0OCENBLUE,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM,A5BLUEWHIT,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM BLK-OCEANIC BLUE,A0OCENBLCK,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM BLK-OCEANIC BLUE,A0OCENBLUE,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM BLK YEL,A0BLAKYELL,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM BLK YEL,BKYL,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM,EAUTOBW,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
TREO PLUS SFT SM GREEN -YEL,A0YELLGREN,TREO PLUS SFT SM,Treo Plus,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf,150,10.24,73.8,102,https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg
